ZipCode,State,Long,County,PlaceName,Lat
96737,HI,-155.7258,Hawaii,Ocean View,19.1002
97134,OR,-123.965,Tillamook,Oceanside,45.4549
63701,MO,-89.5459,Cape Girardeau,Cape Girardeau,37.3169
88250,NM,-104.7299,Eddy,Hope,32.8156
64444,MO,-94.6352,Platte,Edgerton,39.4742
15450,PA,-79.9754,Fayette,La Belle,39.9983
94278,CA,-121.4944,Sacramento,Sacramento,38.5816
97875,OR,-119.2116,Umatilla,Stanfield,45.786
68113,NE,-95.9404,Sarpy,Offutt Afb,41.2563
61536,IL,-89.7952,Peoria,Hanna City,40.6798
96837,HI,-157.8633,Honolulu,Honolulu,21.315
93465,CA,-120.7107,San Luis Obispo,Templeton,35.5551
92807,CA,-117.7858,Orange,Anaheim,33.8544
29936,SC,-80.9804,Jasper,Ridgeland,32.4807
45646,OH,-83.3283,Pike,Latham,39.0804
98119,WA,-122.3643,King,Seattle,47.6379
18660,PA,-76.0857,Luzerne,Wapwallopen,41.068
45769,OH,-82.0331,Meigs,Pomeroy,39.0607
72450,AR,-90.5251,Greene,Paragould,36.06
14058,NY,-78.1704,Genesee,Elba,43.0897
16023,PA,-79.76,Butler,Cabot,40.7924
38041,TN,-89.6962,Lauderdale,Henning,35.6593
38754,MS,-90.604,Humphreys,Isola,33.2471
12592,NY,-73.5544,Dutchess,Wassaic,41.7759
74761,OK,-95.2022,Choctaw,Swink,34.0179
33862,FL,-81.3629,Highlands,Lake Placid,27.2931
55329,MN,-94.6039,Meeker,Eden Valley,45.302
28692,NC,-81.7652,Watauga,Vilas,36.2574
56563,MN,-96.7695,Clay,Moorhead,46.8739
95913,CA,-122.1927,Glenn,Artois,39.6197
62794,IL,-89.606,Sangamon,Springfield,39.7495
4022,ME,-70.7924,Oxford,Denmark,43.9755
71748,AR,-92.4246,Dallas,Ivan,33.9118
76908,TX,-100.4022,Tom Green,Goodfellow Afb,31.4321
73083,OK,-97.4654,Oklahoma,Edmond,35.6665
85376,AZ,-112.3413,Maricopa,Sun City West,33.662
38769,MS,-90.9923,Bolivar,Rosedale,33.8432
71461,LA,-93.2716,Vernon,New Llano,31.1149
34637,FL,-82.4625,Pasco,Land O Lakes,28.2782
